#mH (GeV) 	GammaH (GeV) 	+width % 	-width % 
80	0.00199	5.289497472	5.242938411
81	0.00201	5.284461201	5.208853803
82	0.00204	5.284497468	5.235571657
83	0.00206	5.287492134	5.200919668
84	0.00208	5.29332315	5.239358223
85	0.00211	5.291357657	5.206627105
86	0.00213	5.252145054	5.233179107
87	0.00215	5.29483398	5.205053319
88	0.00218	5.224447833	5.23740774
89	0.0022	5.284553933	5.168347824
90	0.00222	5.247363036	5.20591994
91	0.00225	5.254278016	5.171266421
92	0.00227	5.203010094	5.210170985
93	0.0023	5.178473793	5.209028905
94	0.00232	5.199995438	5.207162269
95	0.00235	5.211553399	5.139869428
96	0.00237	5.197494379	5.17175973
97	0.0024	5.166287957	5.167701212
98	0.00243	5.162597102	5.130494604
99	0.00246	5.160052624	5.155080847
100	0.00248	5.134111782	5.109332514
101	0.00251	5.145132429	5.082134552
102	0.00254	5.128778978	5.063004214
103	0.00258	5.113508989	5.06382243
104	0.00261	5.050549179	5.095614709
105	0.00264	5.085963546	5.000326068
106	0.00268	5.017662331	5.000092675
107	0.00272	5.026485429	4.953118527
108	0.00276	4.964617974	4.942756145
109	0.0028	4.910908934	4.938400478
110	0.00285	4.916345841	4.882791989
110.5	0.00287	4.86546062	4.887922072
111	0.00289	4.892539738	4.821170047
111.5	0.00292	4.854589985	4.800203641
112	0.00295	4.814457412	4.803321855
112.5	0.00297	4.815133558	4.772809272
113	0.003	4.791806278	4.726084071
113.5	0.00303	4.748939338	4.752185492
114	0.00306	4.739500454	4.692308164
114.5	0.00309	4.698889211	4.687650773
115	0.00312	4.685723151	4.662241875
115.5	0.00315	4.656210887	4.640305215
116	0.00319	4.632250018	4.596350577
116.5	0.00322	4.595676314	4.55868147
117	0.00326	4.54907818	4.566170343
117.5	0.0033	4.507549228	4.533664188
118	0.00333	4.497228014	4.485758657
118.5	0.00338	4.459027793	4.450319593
119	0.00342	4.427549717	4.402261724
119.5	0.00346	4.407011457	4.388313781
120	0.00351	4.360865269	4.33175037
