#mH (GeV) 	Cross Section (pb) 	+scale % 	-scale % 	+(PDF+αs) % 	-(PDF+αs) %
90 	    1.449 	 6.2 	-9.3 	8.7 	-8.7
95 	    1.268 	 6.1 	-9.3 	8.7 	-8.7
100 	1.114 	 6.1 	-9.3 	8.7 	-8.7
105 	0.9816 	 6.0 	-9.3 	8.7 	-8.7
110 	0.8681 	 6.0 	-9.3 	8.8 	-8.8
115 	0.7699 	 6.0 	-9.3 	8.8 	-8.8
120 	0.6850 	 5.9 	-9.3 	8.8 	-8.8
125 	0.6113 	 5.9 	-9.3 	8.9 	-8.9
130 	0.5472 	 5.9 	-9.3 	8.9 	-8.9
135 	0.4910 	 5.9 	-9.3 	8.9 	-8.9
140 	0.4419 	 5.9 	-9.3 	8.9 	-8.9
145 	0.3989 	 5.9 	-9.3 	9.0 	-9.0
150 	0.3609 	 5.9 	-9.3 	9.0 	-9.0
155 	0.3275 	 5.9 	-9.4 	9.0 	-9.0
160 	0.2980 	 5.9 	-9.4 	9.1 	-9.1
165 	0.2718 	 6.0 	-9.4 	9.1 	-9.1
170 	0.2487 	 6.5 	-9.7 	9.2 	-9.2
175 	0.2279 	 6.6 	-9.7 	9.2 	-9.2
180 	0.2095 	 6.6 	-9.8 	9.2 	-9.2
185 	0.1930 	 6.6 	-9.8 	9.2 	-9.2
190 	0.1783 	 6.7 	-9.9 	9.3 	-9.3
195 	0.1650 	 6.7 	-9.9 	9.3 	-9.3
200 	0.1532 	 6.8 	-10.0 	9.4 	-9.4
210 	0.1329 	 7.0 	-10.1 	9.4 	-9.4
220 	0.1162 	 7.2 	-10.3 	9.5 	-9.5
230 	0.1025 	 7.5 	-10.4 	9.6 	-9.6
240 	0.09109 	7.6 	-10.6 	9.7 	-9.7
250 	0.08156 	8.0 	-10.8 	9.7 	-9.7
260 	0.07351 	8.3 	-11.0 	9.8 	-9.8
270 	0.06667 	8.6 	-11.2 	9.9 	-9.9
280 	0.06081 	9.0 	-11.4 	10.0 	-10.0
290 	0.05575 	9.3 	-11.6 	10.1 	-10.1
300 	0.05133 	9.7 	-11.8 	10.1 	-10.1
