#mH (GeV) 	Cross Section (pb) 	+scale % 	-scale % 	+(PDF+αs) % 	-(PDF+αs) %
90 	    4.090 	 0.4 	-0.7 	3.9 	-3.9
95 	    3.499 	 0.6 	-0.7 	3.8 	-3.8
100 	3.002 	 0.8 	-0.6 	3.7 	-3.7
105 	2.596 	 0.6 	-0.5 	3.5 	-3.5
110 	2.246 	 0.3 	-0.8 	3.8 	-3.8
115 	1.952 	 0.7 	-0.2 	3.8 	-3.8
120 	1.710 	 0.6 	-0.3 	3.8 	-3.8
125 	1.504 	 0.3 	-0.6 	3.8 	-3.8
130 	1.324 	 0.5 	-0.4 	3.3 	-3.3
135 	1.167 	 0.6 	-0.5 	2.9 	-2.9
140 	1.034 	 0.2 	-0.7 	3.1 	-3.1
145 	0.9200 	 0.5 	-0.4 	3.3 	-3.3
150 	0.8156 	 0.3 	-0.6 	2.7 	-2.7
155 	0.7255 	 0.4 	-0.6 	3.1 	-3.1
160 	0.6341 	 0.2 	-0.5 	3.1 	-3.1
165 	0.5850 	 0.2 	-0.6 	2.4 	-2.4
170 	0.5260 	 0.3 	-0.7 	2.8 	-2.8
175 	0.4763 	 0.5 	-0.3 	2.9 	-2.9
180 	0.4274 	 0.4 	-0.6 	2.8 	-2.8
185 	0.3963 	 0.4 	-0.7 	2.5 	-2.5
190 	0.3600 	 0.2 	-0.6 	2.8 	-2.8
195 	0.3291 	 0.3 	-0.7 	2.7 	-2.7
200 	0.3004 	 0.4 	-0.5 	3.0 	-3.0
210 	0.2526 	 0.2 	-0.7 	2.6 	-2.6
220 	0.2138 	 0.6 	-0.5 	2.8 	-2.8
230 	0.1826 	 0.4 	-0.5 	3.5 	-3.5
240 	0.1561 	 0.4 	-0.5 	3.3 	-3.3
250 	0.1343 	 0.2 	-0.7 	3.0 	-3.0
260 	0.1161 	 0.2 	-0.7 	2.8 	-2.8
270 	0.1009 	 0.5 	-0.6 	2.6 	-2.6
280 	0.08781 	0.4 	-0.6 	3.0 	-3.0
290 	0.07714 	0.3 	-0.6 	3.2 	-3.2
300 	0.06755 	0.6 	-0.5 	3.3 	-3.3 
