#mH (GeV) 	Cross Section (pb) 	+scale % 	-scale % 	+(PDF+αs) % 	-(PDF+αs) %
90 	    2.245 	 1.3 	-1.7 	4.0 	-4.0
95 	    1.941 	 1.6 	-1.6 	3.6 	-3.6
100 	1.683 	 1.9 	-1.5 	3.8 	-3.8
105 	1.468 	 1.7 	-1.7 	3.7 	-3.7
110 	1.283 	 2.1 	-1.6 	4.0 	-4.0
115 	1.130 	 2.5 	-1.5 	3.7 	-3.7
120 	0.9967 	 2.4 	-1.8 	3.6 	-3.6
125 	0.8830 	 2.7 	-1.8 	3.7 	-3.7
130 	0.7846 	 2.9 	-1.8 	3.4 	-3.4
135 	0.6981 	 2.9 	-2.2 	3.0 	-3.0
140 	0.6256 	 2.8 	-2.2 	3.0 	-3.0
145 	0.5601 	 3.3 	-2.1 	3.4 	-3.4
150 	0.5016 	 3.3 	-2.0 	2.7 	-2.7
155 	0.4513 	 3.3 	-2.4 	3.2 	-3.2
160 	0.3986 	 3.5 	-2.4 	3.1 	-3.1
165 	0.3705 	 3.8 	-2.3 	2.6 	-2.6
170 	0.3355 	 3.5 	-2.4 	3.0 	-3.0
175 	0.3044 	 3.5 	-2.6 	3.1 	-3.1
180 	0.2744 	 3.7 	-2.8 	3.0 	-3.0
185 	0.2524 	 3.5 	-2.9 	2.6 	-2.6
190 	0.2301 	 3.5 	-2.9 	3.0 	-3.0
195 	0.2112 	 3.5 	-2.9 	2.9 	-2.9
200 	0.1936 	 3.6 	-3.0 	3.1 	-3.1
210 	0.1628 	 3.9 	-2.5 	2.6 	-2.6
220 	0.1380 	 3.4 	-2.7 	2.9 	-2.9
230 	0.1173 	 3.4 	-2.6 	3.6 	-3.6
240 	0.09996  	3.1 	-2.5 	3.4 	-3.4
250 	0.08540  	3.0 	-2.3 	3.2 	-3.2
260 	0.07341  	3.0 	-2.1 	3.1 	-3.1
270 	0.06325  	2.5 	-1.9 	2.8 	-2.8
280 	0.05474  	2.5 	-1.8 	3.2 	-3.2
290 	0.04769  	2.2 	-1.5 	3.2 	-3.2
300 	0.04156  	2.0 	-1.6 	3.6 	-3.6 
