#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %
80.0     0.2897  +4.3    -9.8    +8.3    -8.3
81.0     0.2812  +4.3    -9.8    +8.3    -8.3
82.0     0.2729  +4.3    -9.8    +8.3    -8.3
83.0     0.2650  +4.3    -9.8    +8.4    -8.4
84.0     0.2573  +4.2    -9.8    +8.4    -8.4
85.0     0.2498  +4.2    -9.8    +8.4    -8.4
86.0     0.2426  +4.2    -9.7    +8.4    -8.4
87.0     0.2357  +4.2    -9.7    +8.4    -8.4
88.0     0.2290  +4.1    -9.7    +8.4    -8.4
89.0     0.2225  +4.1    -9.7    +8.4    -8.4
90.0     0.2162  +4.1    -9.7    +8.4    -8.4
91.0     0.2102  +4.1    -9.7    +8.4    -8.4
92.0     0.2044  +4.0    -9.7    +8.4    -8.4
93.0     0.1988  +4.0    -9.7    +8.4    -8.4
94.0     0.1933  +4.0    -9.6    +8.4    -8.4
95.0     0.1880  +3.9    -9.6    +8.4    -8.4
96.0     0.1828  +3.9    -9.6    +8.4    -8.4
97.0     0.1778  +3.9    -9.6    +8.4    -8.4
98.0     0.1730  +3.9    -9.6    +8.4    -8.4
99.0     0.1683  +3.8    -9.6    +8.4    -8.4
100.0    0.1637  +3.8    -9.6    +8.4    -8.4
101.0    0.1593  +3.8    -9.6    +8.4    -8.4
102.0    0.1551  +3.8    -9.5    +8.4    -8.4
103.0    0.1510  +3.7    -9.5    +8.4    -8.4
104.0    0.1471  +3.7    -9.5    +8.4    -8.4
105.0    0.1432  +3.7    -9.5    +8.4    -8.4
106.0    0.1395  +3.7    -9.5    +8.4    -8.4
107.0    0.1359  +3.6    -9.5    +8.4    -8.4
108.0    0.1324  +3.6    -9.5    +8.4    -8.4
109.0    0.1290  +3.6    -9.5    +8.4    -8.4
110.0    0.1257  +3.6    -9.4    +8.4    -8.4
110.5    0.1240  +3.6    -9.4    +8.4    -8.4
111.0    0.1224  +3.5    -9.4    +8.4    -8.4
111.5    0.1209  +3.5    -9.4    +8.4    -8.4
112.0    0.1193  +3.5    -9.4    +8.4    -8.4
112.5    0.1178  +3.5    -9.4    +8.4    -8.4
113.0    0.1163  +3.5    -9.4    +8.4    -8.4
113.5    0.1148  +3.5    -9.4    +8.4    -8.4
114.0    0.1133  +3.5    -9.4    +8.4    -8.4
114.5    0.1119  +3.5    -9.4    +8.4    -8.4
115.0    0.1105  +3.5    -9.4    +8.4    -8.4
115.5    0.1091  +3.4    -9.4    +8.4    -8.4
116.0    0.1078  +3.4    -9.4    +8.4    -8.4
116.5    0.1064  +3.4    -9.4    +8.4    -8.4
117.0    0.1051  +3.4    -9.4    +8.4    -8.4
117.5    0.1038  +3.4    -9.4    +8.4    -8.4
118.0    0.1025  +3.4    -9.4    +8.4    -8.4
118.5    0.1013  +3.4    -9.3    +8.4    -8.4
119.0    0.1000  +3.4    -9.3    +8.4    -8.4
119.5    0.09879     +3.4    -9.3    +8.4    -8.4
120.0    0.09758     +3.4    -9.3    +8.4    -8.4
120.1    0.09734     +3.4    -9.3    +8.4    -8.4
120.2    0.09710     +3.3    -9.3    +8.4    -8.4
120.3    0.09686     +3.3    -9.3    +8.4    -8.4
120.4    0.09662     +3.3    -9.3    +8.4    -8.4
120.5    0.09638     +3.3    -9.3    +8.4    -8.4
120.6    0.09614     +3.3    -9.3    +8.4    -8.4
120.7    0.09590     +3.3    -9.3    +8.4    -8.4
120.8    0.09567     +3.3    -9.3    +8.4    -8.4
120.9    0.09543     +3.3    -9.3    +8.4    -8.4
121.0    0.09520     +3.3    -9.3    +8.4    -8.4
121.1    0.09496     +3.3    -9.3    +8.4    -8.4
121.2    0.09473     +3.3    -9.3    +8.4    -8.4
121.3    0.09449     +3.3    -9.3    +8.4    -8.4
121.4    0.09426     +3.3    -9.3    +8.4    -8.4
121.5    0.09403     +3.3    -9.3    +8.4    -8.4
