#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %     W+H (pb)    W-H (pb)
80.0     2.341   +1.0    -1.0    +2.3    -2.3    1.461   0.8794
81.0     2.258   +0.9    -0.9    +2.3    -2.3    1.409   0.8473
82.0     2.179   +0.9    -0.9    +2.3    -2.3    1.363   0.8176
83.0     2.104   +0.9    -0.9    +2.3    -2.3    1.315   0.7888
84.0     2.031   +0.9    -0.9    +2.3    -2.3    1.271   0.7604
85.0     1.963   +0.9    -0.9    +2.3    -2.3    1.228   0.7338
86.0     1.896   +0.9    -0.9    +2.3    -2.3    1.187   0.7081
87.0     1.831   +1.0    -1.0    +2.3    -2.3    1.147   0.6837
88.0     1.770   +1.0    -1.0    +2.3    -2.3    1.109   0.6602
89.0     1.711   +1.0    -1.0    +2.3    -2.3    1.072   0.6382
90.0     1.654   +1.0    -1.0    +2.2    -2.2    1.037   0.6160
91.0     1.600   +1.0    -1.0    +2.3    -2.3    1.004   0.5954
92.0     1.548   +1.0    -1.0    +2.3    -2.3    0.9716  0.5757
93.0     1.498   +1.0    -1.0    +2.3    -2.3    0.9408  0.5564
94.0     1.450   +1.0    -1.0    +2.3    -2.3    0.9109  0.5381
95.0     1.404   +0.9    -0.9    +2.3    -2.3    0.8829  0.5207
96.0     1.359   +0.9    -0.9    +2.3    -2.3    0.8554  0.5033
97.0     1.315   +0.9    -0.9    +2.3    -2.3    0.8287  0.4867
98.0     1.274   +0.9    -0.9    +2.3    -2.3    0.8026  0.4714
99.0     1.234   +0.9    -0.9    +2.3    -2.3    0.7781  0.4561
100.0    1.195   +0.9    -0.9    +2.3    -2.3    0.7541  0.4416
101.0    1.159   +0.9    -0.9    +2.3    -2.3    0.7319  0.4281
102.0    1.125   +0.9    -0.9    +2.4    -2.4    0.7103  0.4146
103.0    1.091   +0.9    -0.9    +2.4    -2.4    0.6891  0.4021
104.0    1.058   +0.9    -0.9    +2.4    -2.4    0.6690  0.3898
105.0    1.029   +0.9    -0.9    +2.4    -2.4    0.6498  0.3779
106.0    0.9964  +0.9    -0.9    +2.4    -2.4    0.6306  0.3662
107.0    0.9674  +0.9    -0.9    +2.4    -2.4    0.6118  0.3553
108.0    0.9384  +0.9    -0.9    +2.4    -2.4    0.5943  0.3445
109.0    0.9109  +0.9    -0.9    +2.4    -2.4    0.5769  0.3340
110.0    0.8847  +0.9    -0.9    +2.4    -2.4    0.5608  0.3239
110.5    0.8720  +0.9    -0.9    +2.4    -2.4    0.5529  0.3190
111.0    0.8587  +0.9    -0.9    +2.4    -2.4    0.5445  0.3141
111.5    0.8458  +1.0    -1.0    +2.4    -2.4    0.5361  0.3095
112.0    0.8333  +1.0    -1.0    +2.4    -2.4    0.5289  0.3046
112.5    0.8213  +1.0    -1.0    +2.4    -2.4    0.5209  0.3000
113.0    0.8093  +1.0    -1.0    +2.4    -2.4    0.5136  0.2954
113.5    0.7973  +0.9    -0.9    +2.4    -2.4    0.5061  0.2910
114.0    0.7858  +0.9    -0.9    +2.4    -2.4    0.4987  0.2866
114.5    0.7743  +0.9    -0.9    +2.4    -2.4    0.4913  0.2822
115.0    0.7626  +0.9    -0.9    +2.4    -2.4    0.4846  0.2781
115.5    0.7517  +0.9    -0.9    +2.4    -2.4    0.4778  0.2741
116.0    0.7415  +0.9    -0.9    +2.4    -2.4    0.4709  0.2699
116.5    0.7309  +0.9    -0.9    +2.5    -2.5    0.4646  0.2661
117.0    0.7203  +0.9    -0.9    +2.5    -2.5    0.4581  0.2624
117.5    0.7102  +0.9    -0.9    +2.5    -2.5    0.4516  0.2584
118.0    0.7002  +0.9    -0.9    +2.5    -2.5    0.4455  0.2547
118.5    0.6907  +0.9    -0.9    +2.5    -2.5    0.4395  0.2511
119.0    0.6808  +0.9    -0.9    +2.6    -2.6    0.4334  0.2475
119.5    0.6712  +0.9    -0.9    +2.6    -2.6    0.4275  0.2439
120.0    0.6617  +0.9    -0.9    +2.6    -2.6    0.4218  0.2403
120.1    0.6603  +0.9    -0.9    +2.6    -2.6    0.4206  0.2397
120.2    0.6585  +0.9    -0.9    +2.5    -2.5    0.4193  0.2390
120.3    0.6567  +0.9    -0.9    +2.5    -2.5    0.4183  0.2384
120.4    0.6549  +0.9    -0.9    +2.5    -2.5    0.4174  0.2377
120.5    0.6533  +0.9    -0.9    +2.5    -2.5    0.4162  0.2370
120.6    0.6514  +0.9    -0.9    +2.5    -2.5    0.4151  0.2363
120.7    0.6496  +0.9    -0.9    +2.5    -2.5    0.4139  0.2357
120.8    0.6479  +0.9    -0.9    +2.5    -2.5    0.4126  0.2351
120.9    0.6463  +0.9    -0.9    +2.5    -2.5    0.4117  0.2344
121.0    0.6448  +0.9    -0.9    +2.6    -2.6    0.4105  0.2337
121.1    0.6430  +0.9    -0.9    +2.5    -2.5    0.4093  0.2330
121.2    0.6412  +0.9    -0.9    +2.5    -2.5    0.4082  0.2324
121.3    0.6397  +0.9    -0.9    +2.4    -2.4    0.4072  0.2317
121.4    0.6379  +0.9    -0.9    +2.4    -2.4    0.4060  0.2311
121.5    0.6363  +0.9    -0.9    +2.4    -2.4    0.4051  0.2304
121.6    0.6339  +0.9    -0.9    +2.4    -2.4    0.4040  0.2297
121.7    0.6324  +0.9    -0.9    +2.4    -2.4    0.4033  0.2291
121.8    0.6307  +0.9    -0.9    +2.5    -2.5    0.4022  0.2285
121.9    0.6288  +0.9    -0.9    +2.5    -2.5    0.4009  0.2279
122.0    0.6268  +0.9    -0.9    +2.5    -2.5    0.3998  0.2272
122.1    0.6251  +0.9    -0.9    +2.5    -2.5    0.3988  0.2266
122.2    0.6236  +0.9    -0.9    +2.5    -2.5    0.3977  0.2260
122.3    0.6218  +0.9    -0.9    +2.6    -2.6    0.3967  0.2254
122.4    0.6202  +0.9    -0.9    +2.6    -2.6    0.3955  0.2247
122.5    0.6185  +0.9    -0.9    +2.6    -2.6    0.3945  0.2240
122.6    0.6168  +0.9    -0.9    +2.6    -2.6    0.3934  0.2234
122.7    0.6153  +0.9    -0.9    +2.6    -2.6    0.3924  0.2229
122.8    0.6134  +0.9    -0.9    +2.6    -2.6    0.3912  0.2222
122.9    0.6116  +0.9    -0.9    +2.6    -2.6    0.3902  0.2217
123.0    0.6100  +0.9    -0.9    +2.6    -2.6    0.3892  0.2210
123.1    0.6084  +0.9    -0.9    +2.6    -2.6    0.3881  0.2204
123.2    0.6069  +0.9    -0.9    +2.6    -2.6    0.3870  0.2197
123.3    0.6050  +0.9    -0.9    +2.6    -2.6    0.3861  0.2191
123.4    0.6035  +0.9    -0.9    +2.6    -2.6    0.3851  0.2184
123.5    0.6021  +0.9    -0.9    +2.5    -2.5    0.3841  0.2179
123.6    0.6003  +0.9    -0.9    +2.5    -2.5    0.3831  0.2173
123.7    0.5990  +0.9    -0.9    +2.5    -2.5    0.3821  0.2167
123.8    0.5976  +0.9    -0.9    +2.5    -2.5    0.3810  0.2161
123.9    0.5959  +0.9    -0.9    +2.5    -2.5    0.3800  0.2154
124.0    0.5944  +0.9    -0.9    +2.5    -2.5    0.3791  0.2148
124.1    0.5926  +0.9    -0.9    +2.5    -2.5    0.3779  0.2143
124.2    0.5909  +0.9    -0.9    +2.5    -2.5    0.3769  0.2137
124.3    0.5894  +0.9    -0.9    +2.6    -2.6    0.3762  0.2132
124.4    0.5877  +0.9    -0.9    +2.6    -2.6    0.3751  0.2126
124.5    0.5858  +0.9    -0.9    +2.6    -2.6    0.3741  0.2121
124.6    0.5844  +0.9    -0.9    +2.6    -2.6    0.3729  0.2115
124.7    0.5829  +0.9    -0.9    +2.6    -2.6    0.3720  0.2109
124.8    0.5812  +0.9    -0.9    +2.6    -2.6    0.3711  0.2103
124.9    0.5798  +0.9    -0.9    +2.6    -2.6    0.3700  0.2096
125.0    0.5785  +0.9    -0.9    +2.6    -2.6    0.3691  0.2090
125.1    0.5770  +0.9    -0.9    +2.6    -2.6    0.3681  0.2085
125.2    0.5751  +0.9    -0.9    +2.6    -2.6    0.3672  0.2079
125.3    0.5736  +0.9    -0.9    +2.6    -2.6    0.3662  0.2072
125.4    0.5718  +1.0    -1.0    +2.6    -2.6    0.3651  0.2067
125.5    0.5703  +1.0    -1.0    +2.6    -2.6    0.3642  0.2062
125.6    0.5688  +1.0    -1.0    +2.6    -2.6    0.3632  0.2056
125.7    0.5673  +1.0    -1.0    +2.5    -2.5    0.3623  0.2050
125.8    0.5660  +1.0    -1.0    +2.5    -2.5    0.3614  0.2044
125.9    0.5643  +1.0    -1.0    +2.5    -2.5    0.3604  0.2039
126.0    0.5629  +1.0    -1.0    +2.5    -2.5    0.3594  0.2034
126.1    0.5612  +1.0    -1.0    +2.5    -2.5    0.3584  0.2028
126.2    0.5599  +1.0    -1.0    +2.5    -2.5    0.3574  0.2022
126.3    0.5585  +1.0    -1.0    +2.5    -2.5    0.3565  0.2017
126.4    0.5569  +1.0    -1.0    +2.5    -2.5    0.3556  0.2012
126.5    0.5555  +1.0    -1.0    +2.5    -2.5    0.3547  0.2006
126.6    0.5539  +1.0    -1.0    +2.5    -2.5    0.3539  0.2000
126.7    0.5523  +1.0    -1.0    +2.6    -2.6    0.3528  0.1994
126.8    0.5508  +1.0    -1.0    +2.6    -2.6    0.3519  0.1988
126.9    0.5492  +1.0    -1.0    +2.6    -2.6    0.3510  0.1983
127.0    0.5476  +1.0    -1.0    +2.6    -2.6    0.3501  0.1977
127.1    0.5463  +1.0    -1.0    +2.6    -2.6    0.3491  0.1971
127.2    0.5449  +1.0    -1.0    +2.6    -2.6    0.3482  0.1966
127.3    0.5434  +1.0    -1.0    +2.5    -2.5    0.3472  0.1961
127.4    0.5420  +1.0    -1.0    +2.5    -2.5    0.3463  0.1956
127.5    0.5406  +1.0    -1.0    +2.5    -2.5    0.3454  0.1951
127.6    0.5389  +1.0    -1.0    +2.5    -2.5    0.3445  0.1945
127.7    0.5373  +1.0    -1.0    +2.5    -2.5    0.3437  0.1939
127.8    0.5361  +1.0    -1.0    +2.5    -2.5    0.3428  0.1934
127.9    0.5348  +1.0    -1.0    +2.5    -2.5    0.3419  0.1929
128.0    0.5332  +1.0    -1.0    +2.5    -2.5    0.3410  0.1924
128.1    0.5319  +0.9    -0.9    +2.5    -2.5    0.3400  0.1918
128.2    0.5303  +0.9    -0.9    +2.5    -2.5    0.3392  0.1913
128.3    0.5288  +0.9    -0.9    +2.5    -2.5    0.3383  0.1908
128.4    0.5275  +0.9    -0.9    +2.6    -2.6    0.3375  0.1902
128.5    0.5258  +0.9    -0.9    +2.6    -2.6    0.3367  0.1897
128.6    0.5245  +0.9    -0.9    +2.6    -2.6    0.3357  0.1892
128.7    0.5233  +0.9    -0.9    +2.6    -2.6    0.3348  0.1887
128.8    0.5219  +0.9    -0.9    +2.6    -2.6    0.3339  0.1883
128.9    0.5204  +0.9    -0.9    +2.6    -2.6    0.3330  0.1877
129.0    0.5189  +0.9    -0.9    +2.6    -2.6    0.3321  0.1872
129.1    0.5176  +0.9    -0.9    +2.6    -2.6    0.3312  0.1867
129.2    0.5164  +0.9    -0.9    +2.6    -2.6    0.3305  0.1861
129.3    0.5150  +0.9    -0.9    +2.6    -2.6    0.3297  0.1856
129.4    0.5137  +0.9    -0.9    +2.5    -2.5    0.3288  0.1851
129.5    0.5122  +0.9    -0.9    +2.5    -2.5    0.3279  0.1846
129.6    0.5112  +0.9    -0.9    +2.5    -2.5    0.3269  0.1841
129.7    0.5096  +0.9    -0.9    +2.6    -2.6    0.3260  0.1836
129.8    0.5084  +0.9    -0.9    +2.6    -2.6    0.3253  0.1831
129.9    0.5072  +0.9    -0.9    +2.6    -2.6    0.3244  0.1826
130.0    0.5059  +0.9    -0.9    +2.6    -2.6    0.3235  0.1821
130.5    0.4989  +0.9    -0.9    +2.6    -2.6    0.3195  0.1796
131.0    0.4922  +1.0    -1.0    +2.6    -2.6    0.3153  0.1772
131.5    0.4858  +1.0    -1.0    +2.6    -2.6    0.3112  0.1748
132.0    0.4795  +1.0    -1.0    +2.6    -2.6    0.3072  0.1724
132.5    0.4730  +1.0    -1.0    +2.6    -2.6    0.3031  0.1700
133.0    0.4668  +1.0    -1.0    +2.6    -2.6    0.2992  0.1677
133.5    0.4608  +1.0    -1.0    +2.6    -2.6    0.2954  0.1655
134.0    0.4549  +1.0    -1.0    +2.6    -2.6    0.2917  0.1633
134.5    0.4491  +1.0    -1.0    +2.6    -2.6    0.2881  0.1612
135.0    0.4431  +1.0    -1.0    +2.6    -2.6    0.2845  0.1589
135.5    0.4374  +1.0    -1.0    +2.6    -2.6    0.2808  0.1569
136.0    0.4318  +1.0    -1.0    +2.6    -2.6    0.2771  0.1548
136.5    0.4261  +1.0    -1.0    +2.6    -2.6    0.2737  0.1526
137.0    0.4207  +1.0    -1.0    +2.6    -2.6    0.2701  0.1506
137.5    0.4152  +1.0    -1.0    +2.6    -2.6    0.2667  0.1487
138.0    0.4098  +1.0    -1.0    +2.6    -2.6    0.2634  0.1467
138.5    0.4046  +1.0    -1.0    +2.6    -2.6    0.2600  0.1448
139.0    0.3996  +1.0    -1.0    +2.6    -2.6    0.2568  0.1427
139.5    0.3945  +0.9    -0.9    +2.6    -2.6    0.2535  0.1409
140.0    0.3896  +0.9    -0.9    +2.6    -2.6    0.2504  0.1391
140.5    0.3846  +0.9    -0.9    +2.6    -2.6    0.2474  0.1372
141.0    0.3799  +1.0    -1.0    +2.6    -2.6    0.2442  0.1354
141.5    0.3752  +1.0    -1.0    +2.6    -2.6    0.2412  0.1337
142.0    0.3704  +1.0    -1.0    +2.6    -2.6    0.2383  0.1320
142.5    0.3658  +1.0    -1.0    +2.6    -2.6    0.2354  0.1303
143.0    0.3611  +1.0    -1.0    +2.7    -2.7    0.2325  0.1286
143.5    0.3567  +1.0    -1.0    +2.7    -2.7    0.2297  0.1270
144.0    0.3524  +1.0    -1.0    +2.7    -2.7    0.2270  0.1253
144.5    0.3480  +1.0    -1.0    +2.7    -2.7    0.2242  0.1237
145.0    0.3437  +1.0    -1.0    +2.7    -2.7    0.2214  0.1222
145.5    0.3394  +1.0    -1.0    +2.7    -2.7    0.2186  0.1205
146.0    0.3351  +1.0    -1.0    +2.7    -2.7    0.2161  0.1190
146.5    0.3310  +1.0    -1.0    +2.7    -2.7    0.2134  0.1175
147.0    0.3269  +1.0    -1.0    +2.7    -2.7    0.2108  0.1159
147.5    0.3228  +1.0    -1.0    +2.8    -2.8    0.2082  0.1145
148.0    0.3190  +1.0    -1.0    +2.7    -2.7    0.2058  0.1130
148.5    0.3149  +1.0    -1.0    +2.7    -2.7    0.2032  0.1115
149.0    0.3109  +1.0    -1.0    +2.7    -2.7    0.2008  0.1101
149.5    0.3071  +1.0    -1.0    +2.7    -2.7    0.1983  0.1087
150.0    0.3034  +1.0    -1.0    +2.7    -2.7    0.1960  0.1074
152.0    0.2883  +1.0    -1.0    +2.8    -2.8    0.1865  0.1019
154.0    0.2742  +1.0    -1.0    +2.8    -2.8    0.1775  0.09675
156.0    0.2597  +1.0    -1.0    +2.8    -2.8    0.1683  0.09153
158.0    0.2452  +1.0    -1.0    +2.8    -2.8    0.1590  0.08624
160.0    0.2316  +1.0    -1.0    +2.8    -2.8    0.1502  0.08133
162.0    0.2241  +1.0    -1.0    +2.9    -2.9    0.1455  0.07856
164.0    0.2168  +1.0    -1.0    +2.9    -2.9    0.1408  0.07587
165.0    0.2133  +1.0    -1.0    +2.9    -2.9    0.1387  0.07459
166.0    0.2085  +1.0    -1.0    +2.9    -2.9    0.1357  0.07289
168.0    0.1994  +1.1    -1.1    +2.9    -2.9    0.1298  0.06955
170.0    0.1908  +1.0    -1.0    +2.9    -2.9    0.1244  0.06645
172.0    0.1826  +1.1    -1.1    +2.9    -2.9    0.1191  0.06350
174.0    0.1748  +1.1    -1.1    +2.9    -2.9    0.1141  0.06069
175.0    0.1709  +1.1    -1.1    +2.9    -2.9    0.1117  0.05928
176.0    0.1674  +1.1    -1.1    +2.9    -2.9    0.1094  0.05800
178.0    0.1605  +1.1    -1.1    +3.0    -3.0    0.1049  0.05551
180.0    0.1538  +1.1    -1.1    +3.0    -3.0    0.1007  0.05316
182.0    0.1482  +1.1    -1.1    +3.0    -3.0    0.09705     0.05112
184.0    0.1427  +1.1    -1.1    +3.0    -3.0    0.09360     0.04915
185.0    0.1401  +1.1    -1.1    +3.0    -3.0    0.09190     0.04819
186.0    0.1374  +1.1    -1.1    +3.0    -3.0    0.09014     0.04722
188.0    0.1320  +1.1    -1.1    +3.0    -3.0    0.08663     0.04530
190.0    0.1269  +1.1    -1.1    +3.0    -3.0    0.08335     0.04349
192.0    0.1220  +1.1    -1.1    +3.1    -3.1    0.08026     0.04175
194.0    0.1173  +1.1    -1.1    +3.1    -3.1    0.07726     0.04009
195.0    0.1151  +1.2    -1.2    +3.1    -3.1    0.07580     0.03930
196.0    0.1129  +1.1    -1.1    +3.1    -3.1    0.07440     0.03850
198.0    0.1086  +1.1    -1.1    +3.1    -3.1    0.07161     0.03698
200.0    0.1045  +1.1    -1.1    +3.2    -3.2    0.06898     0.03554
202.0    0.1006  +1.1    -1.1    +3.2    -3.2    0.06645     0.03416
204.0    0.09689     +1.2    -1.2    +3.2    -3.2    0.06406     0.03285
206.0    0.09332     +1.2    -1.2    +3.2    -3.2    0.06176     0.03159
208.0    0.08993     +1.2    -1.2    +3.2    -3.2    0.05955     0.03039
210.0    0.08665     +1.2    -1.2    +3.2    -3.2    0.05743     0.02925
212.0    0.08356     +1.2    -1.2    +3.3    -3.3    0.05541     0.02816
214.0    0.08056     +1.2    -1.2    +3.3    -3.3    0.05349     0.02711
216.0    0.07772     +1.2    -1.2    +3.3    -3.3    0.05163     0.02611
218.0    0.07499     +1.2    -1.2    +3.3    -3.3    0.04985     0.02515
220.0    0.07238     +1.2    -1.2    +3.3    -3.3    0.04814     0.02423
222.0    0.06985     +1.2    -1.2    +3.4    -3.4    0.04651     0.02335
224.0    0.06745     +1.2    -1.2    +3.4    -3.4    0.04494     0.02251
226.0    0.06514     +1.3    -1.3    +3.4    -3.4    0.04345     0.02170
228.0    0.06294     +1.3    -1.3    +3.4    -3.4    0.04199     0.02094
230.0    0.06082     +1.3    -1.3    +3.4    -3.4    0.04060     0.02019
232.0    0.05877     +1.3    -1.3    +3.5    -3.5    0.03929     0.01949
234.0    0.05681     +1.3    -1.3    +3.5    -3.5    0.03800     0.01882
236.0    0.05496     +1.3    -1.3    +3.5    -3.5    0.03678     0.01817
238.0    0.05314     +1.3    -1.3    +3.5    -3.5    0.03560     0.01755
240.0    0.05141     +1.3    -1.3    +3.5    -3.5    0.03445     0.01695
242.0    0.04973     +1.3    -1.3    +3.5    -3.5    0.03336     0.01637
244.0    0.04812     +1.3    -1.3    +3.6    -3.6    0.03230     0.01582
246.0    0.04658     +1.3    -1.3    +3.6    -3.6    0.03129     0.01529
248.0    0.04507     +1.3    -1.3    +3.6    -3.6    0.03030     0.01478
250.0    0.04365     +1.3    -1.3    +3.6    -3.6    0.02937     0.01429
252.0    0.04227     +1.3    -1.3    +3.7    -3.7    0.02846     0.01381
254.0    0.04095     +1.3    -1.3    +3.7    -3.7    0.02758     0.01336
256.0    0.03966     +1.3    -1.3    +3.7    -3.7    0.02673     0.01292
258.0    0.03842     +1.3    -1.3    +3.7    -3.7    0.02592     0.01250
260.0    0.03724     +1.3    -1.3    +3.7    -3.7    0.02514     0.01210
