#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %  σ(gg→ ZH) (fb)
80.0     1.244   +1.8    -1.8    +2.3    -2.3    36.64
81.0     1.203   +1.8    -1.8    +2.3    -2.3    36.29
82.0     1.163   +1.8    -1.8    +2.4    -2.4    35.94
83.0     1.125   +1.8    -1.8    +2.4    -2.4    35.61
84.0     1.087   +1.8    -1.8    +2.4    -2.4    35.27
85.0     1.052   +1.8    -1.8    +2.4    -2.4    34.93
86.0     1.019   +1.9    -1.9    +2.4    -2.4    34.59
87.0     0.9858  +1.9    -1.9    +2.4    -2.4    34.26
88.0     0.9548  +1.9    -1.9    +2.4    -2.4    33.92
89.0     0.9244  +2.0    -2.0    +2.4    -2.4    33.59
90.0     0.8959  +2.0    -2.0    +2.4    -2.4    33.26
91.0     0.8682  +2.0    -2.0    +2.4    -2.4    32.92
92.0     0.8417  +2.0    -2.0    +2.4    -2.4    32.60
93.0     0.8162  +2.1    -2.1    +2.4    -2.4    32.27
94.0     0.7917  +2.1    -2.1    +2.4    -2.4    31.94
95.0     0.7678  +2.1    -2.1    +2.4    -2.4    31.62
96.0     0.7447  +2.1    -2.1    +2.4    -2.4    31.31
97.0     0.7232  +2.1    -2.1    +2.5    -2.5    30.99
98.0     0.7011  +2.2    -2.2    +2.5    -2.5    30.67
99.0     0.6814  +2.2    -2.2    +2.5    -2.5    30.34
100.0    0.6616  +2.2    -2.2    +2.5    -2.5    30.03
101.0    0.6425  +2.2    -2.2    +2.5    -2.5    29.72
102.0    0.6240  +2.3    -2.3    +2.5    -2.5    29.41
103.0    0.6063  +2.3    -2.3    +2.6    -2.6    29.09
104.0    0.5895  +2.3    -2.3    +2.6    -2.6    28.77
105.0    0.5724  +2.3    -2.3    +2.6    -2.6    28.47
106.0    0.5564  +2.4    -2.4    +2.6    -2.6    28.15
107.0    0.5412  +2.4    -2.4    +2.6    -2.6    27.86
108.0    0.5261  +2.4    -2.4    +2.6    -2.6    27.57
109.0    0.5116  +2.4    -2.4    +2.6    -2.6    27.31
110.0    0.4978  +2.4    -2.4    +2.6    -2.6    27.05
110.5    0.4909  +2.5    -2.5    +2.6    -2.6    26.90
111.0    0.4845  +2.5    -2.5    +2.6    -2.6    26.75
111.5    0.4775  +2.6    -2.6    +2.6    -2.6    26.63
112.0    0.4710  +2.6    -2.6    +2.7    -2.7    26.41
112.5    0.4647  +2.7    -2.7    +2.7    -2.7    26.26
113.0    0.4586  +2.6    -2.6    +2.7    -2.7    26.11
113.5    0.4522  +2.6    -2.6    +2.7    -2.7    25.95
114.0    0.4460  +2.6    -2.6    +2.7    -2.7    25.79
114.5    0.4402  +2.6    -2.6    +2.7    -2.7    25.69
115.0    0.4345  +2.6    -2.6    +2.7    -2.7    25.54
115.5    0.4287  +2.6    -2.6    +2.7    -2.7    25.39
116.0    0.4232  +2.7    -2.7    +2.7    -2.7    25.32
116.5    0.4174  +2.7    -2.7    +2.7    -2.7    25.17
117.0    0.4119  +2.7    -2.7    +2.7    -2.7    25.00
117.5    0.4063  +2.7    -2.7    +2.7    -2.7    24.85
118.0    0.4013  +2.7    -2.7    +2.7    -2.7    24.77
118.5    0.3960  +2.7    -2.7    +2.7    -2.7    24.62
119.0    0.3909  +2.7    -2.7    +2.8    -2.8    24.48
119.5    0.3858  +2.8    -2.8    +2.8    -2.8    24.34
120.0    0.3808  +2.8    -2.8    +2.8    -2.8    24.19
120.1    0.3798  +2.8    -2.8    +2.8    -2.8    24.17
120.2    0.3789  +2.8    -2.8    +2.8    -2.8    24.14
120.3    0.3779  +2.8    -2.8    +2.7    -2.7    24.11
120.4    0.3769  +2.8    -2.8    +2.7    -2.7    24.08
120.5    0.3759  +2.8    -2.8    +2.7    -2.7    24.05
120.6    0.3749  +2.8    -2.8    +2.7    -2.7    24.03
120.7    0.3739  +2.8    -2.8    +2.7    -2.7    24.00
120.8    0.3730  +2.8    -2.8    +2.7    -2.7    23.97
120.9    0.3720  +2.8    -2.8    +2.7    -2.7    23.94
121.0    0.3711  +2.8    -2.8    +2.7    -2.7    23.91
121.1    0.3702  +2.8    -2.8    +2.7    -2.7    23.89
121.2    0.3692  +2.8    -2.8    +2.7    -2.7    23.86
121.3    0.3682  +2.8    -2.8    +2.7    -2.7    23.83
121.4    0.3673  +2.8    -2.8    +2.8    -2.8    23.80
121.5    0.3664  +2.8    -2.8    +2.8    -2.8    23.77
121.6    0.3655  +2.8    -2.8    +2.8    -2.8    23.75
121.7    0.3645  +2.8    -2.8    +2.8    -2.8    23.72
121.8    0.3636  +2.8    -2.8    +2.8    -2.8    23.68
121.9    0.3626  +2.8    -2.8    +2.8    -2.8    23.66
122.0    0.3618  +2.8    -2.8    +2.8    -2.8    23.63
122.1    0.3609  +2.8    -2.8    +2.8    -2.8    23.60
122.2    0.3599  +2.8    -2.8    +2.7    -2.7    23.57
122.3    0.3590  +2.9    -2.9    +2.7    -2.7    23.54
122.4    0.3580  +2.9    -2.9    +2.7    -2.7    23.52
122.5    0.3571  +2.9    -2.9    +2.7    -2.7    23.49
122.6    0.3562  +2.9    -2.9    +2.7    -2.7    23.45
122.7    0.3552  +2.9    -2.9    +2.7    -2.7    23.43
122.8    0.3542  +2.9    -2.9    +2.7    -2.7    23.40
122.9    0.3535  +2.9    -2.9    +2.7    -2.7    23.37
123.0    0.3525  +2.9    -2.9    +2.7    -2.7    23.34
123.1    0.3516  +2.9    -2.9    +2.7    -2.7    23.31
123.2    0.3508  +2.9    -2.9    +2.7    -2.7    23.28
123.3    0.3498  +2.9    -2.9    +2.7    -2.7    23.25
