#mH (GeV)     Cross Section (pb)  +QCD Scale %    -QCD Scale %    +(PDF+αs) %     -(PDF+αs) %
80.0     0.4277  +4.7    -9.7    +8.0    -8.0
81.0     0.4152  +4.7    -9.7    +8.0    -8.0
82.0     0.4032  +4.7    -9.7    +8.0    -8.0
83.0     0.3915  +4.7    -9.7    +8.0    -8.0
84.0     0.3803  +4.7    -9.7    +8.0    -8.0
85.0     0.3694  +4.6    -9.7    +8.0    -8.0
86.0     0.3589  +4.6    -9.7    +8.0    -8.0
87.0     0.3487  +4.6    -9.7    +8.0    -8.0
88.0     0.3389  +4.6    -9.6    +8.0    -8.0
89.0     0.3294  +4.5    -9.6    +8.0    -8.0
90.0     0.3202  +4.5    -9.6    +8.0    -8.0
91.0     0.3113  +4.5    -9.6    +8.0    -8.0
92.0     0.3027  +4.5    -9.6    +8.0    -8.0
93.0     0.2944  +4.4    -9.6    +8.0    -8.0
94.0     0.2864  +4.4    -9.6    +8.0    -8.0
95.0     0.2786  +4.4    -9.6    +8.0    -8.0
96.0     0.2711  +4.4    -9.6    +8.0    -8.0
97.0     0.2638  +4.3    -9.5    +8.0    -8.0
98.0     0.2567  +4.3    -9.5    +8.0    -8.0
99.0     0.2499  +4.3    -9.5    +8.0    -8.0
100.0    0.2433  +4.3    -9.5    +8.0    -8.0
101.0    0.2369  +4.3    -9.5    +8.0    -8.0
102.0    0.2308  +4.2    -9.5    +8.0    -8.0
103.0    0.2248  +4.2    -9.5    +8.1    -8.1
104.0    0.2190  +4.2    -9.5    +8.1    -8.1
105.0    0.2133  +4.2    -9.5    +8.1    -8.1
106.0    0.2077  +4.1    -9.4    +8.1    -8.1
107.0    0.2023  +4.1    -9.4    +8.1    -8.1
108.0    0.1971  +4.1    -9.4    +8.1    -8.1
109.0    0.1920  +4.1    -9.4    +8.1    -8.1
110.0    0.1871  +4.1    -9.4    +8.1    -8.1
110.5    0.1847  +4.1    -9.4    +8.1    -8.1
111.0    0.1824  +4.0    -9.4    +8.1    -8.1
111.5    0.1801  +4.0    -9.4    +8.1    -8.1
112.0    0.1779  +4.0    -9.4    +8.1    -8.1
112.5    0.1757  +4.0    -9.4    +8.1    -8.1
113.0    0.1735  +4.0    -9.4    +8.1    -8.1
113.5    0.1713  +4.0    -9.4    +8.1    -8.1
114.0    0.1692  +4.0    -9.4    +8.1    -8.1
114.5    0.1671  +4.0    -9.4    +8.1    -8.1
115.0    0.1651  +4.0    -9.4    +8.1    -8.1
115.5    0.1630  +4.0    -9.4    +8.1    -8.1
116.0    0.1610  +3.9    -9.4    +8.1    -8.1
116.5    0.1590  +3.9    -9.3    +8.1    -8.1
117.0    0.1571  +3.9    -9.3    +8.1    -8.1
117.5    0.1552  +3.9    -9.3    +8.1    -8.1
118.0    0.1533  +3.9    -9.3    +8.1    -8.1
118.5    0.1514  +3.9    -9.3    +8.1    -8.1
