#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %     σ(gg→ ZH) (fb)
80.0     1.508   +1.9    -1.9    +2.1    -2.1    51.69
81.0     1.459   +1.9    -1.9    +2.1    -2.1    51.20
82.0     1.411   +2.0    -2.0    +2.1    -2.1    50.71
83.0     1.366   +2.0    -2.0    +2.1    -2.1    50.22
84.0     1.321   +2.0    -2.0    +2.1    -2.1    49.74
85.0     1.281   +2.0    -2.0    +2.1    -2.1    49.28
86.0     1.238   +2.1    -2.1    +2.1    -2.1    48.65
87.0     1.200   +2.1    -2.1    +2.1    -2.1    48.20
88.0     1.163   +2.1    -2.1    +2.2    -2.2    47.75
89.0     1.126   +2.1    -2.1    +2.2    -2.2    47.28
90.0     1.092   +2.1    -2.1    +2.2    -2.2    46.85
91.0     1.059   +2.2    -2.2    +2.2    -2.2    46.41
92.0     1.028   +2.2    -2.2    +2.2    -2.2    45.99
93.0     0.9965  +2.2    -2.2    +2.2    -2.2    45.72
94.0     0.9670  +2.2    -2.2    +2.3    -2.3    45.11
95.0     0.9383  +2.3    -2.3    +2.3    -2.3    44.67
96.0     0.9109  +2.3    -2.3    +2.3    -2.3    44.22
97.0     0.8840  +2.3    -2.3    +2.3    -2.3    43.79
98.0     0.8592  +2.3    -2.3    +2.3    -2.3    43.36
99.0     0.8340  +2.4    -2.4    +2.3    -2.3    42.94
100.0    0.8102  +2.4    -2.4    +2.3    -2.3    42.51
101.0    0.7876  +2.4    -2.4    +2.3    -2.3    42.09
102.0    0.7650  +2.4    -2.4    +2.3    -2.3    41.66
103.0    0.7436  +2.5    -2.5    +2.3    -2.3    41.23
104.0    0.7226  +2.5    -2.5    +2.3    -2.3    40.81
105.0    0.7022  +2.5    -2.5    +2.3    -2.3    40.39
106.0    0.6833  +2.6    -2.6    +2.4    -2.4    39.97
107.0    0.6646  +2.6    -2.6    +2.4    -2.4    39.58
108.0    0.6469  +2.6    -2.6    +2.4    -2.4    39.20
109.0    0.6296  +2.7    -2.7    +2.4    -2.4    38.81
110.0    0.6125  +2.7    -2.7    +2.4    -2.4    38.40
110.5    0.6040  +2.7    -2.7    +2.4    -2.4    38.20
111.0    0.5960  +2.7    -2.7    +2.4    -2.4    37.99
111.5    0.5880  +2.8    -2.8    +2.4    -2.4    37.79
112.0    0.5803  +2.8    -2.8    +2.4    -2.4    37.58
112.5    0.5725  +2.8    -2.8    +2.4    -2.4    37.38
113.0    0.5646  +2.8    -2.8    +2.4    -2.4    37.18
113.5    0.5573  +2.8    -2.8    +2.4    -2.4    36.98
114.0    0.5501  +2.8    -2.8    +2.4    -2.4    36.76
114.5    0.5427  +2.8    -2.8    +2.4    -2.4    36.55
115.0    0.5358  +2.8    -2.8    +2.5    -2.5    36.34
115.5    0.5286  +2.8    -2.8    +2.5    -2.5    36.11
116.0    0.5218  +2.9    -2.9    +2.5    -2.5    35.84
116.5    0.5152  +2.9    -2.9    +2.5    -2.5    35.75
117.0    0.5083  +2.9    -2.9    +2.5    -2.5    35.56
117.5    0.5020  +3.0    -3.0    +2.5    -2.5    35.37
118.0    0.4956  +3.0    -3.0    +2.5    -2.5    35.17
118.5    0.4893  +3.0    -3.0    +2.5    -2.5    34.97
119.0    0.4829  +3.0    -3.0    +2.5    -2.5    34.77
119.5    0.4772  +3.0    -3.0    +2.5    -2.5    34.58
120.0    0.4710  +3.0    -3.0    +2.5    -2.5    34.39
120.1    0.4698  +3.0    -3.0    +2.5    -2.5    34.34
120.2    0.4685  +3.0    -3.0    +2.5    -2.5    34.30
120.3    0.4675  +3.0    -3.0    +2.5    -2.5    34.27
120.4    0.4661  +3.0    -3.0    +2.5    -2.5    34.23
120.5    0.4648  +3.0    -3.0    +2.5    -2.5    34.19
120.6    0.4636  +3.0    -3.0    +2.5    -2.5    34.15
120.7    0.4625  +3.0    -3.0    +2.5    -2.5    34.11
120.8    0.4613  +3.0    -3.0    +2.5    -2.5    34.07
120.9    0.4601  +3.0    -3.0    +2.5    -2.5    34.04
121.0    0.4589  +3.0    -3.0    +2.5    -2.5    34.00
121.1    0.4580  +3.0    -3.0    +2.5    -2.5    33.95
121.2    0.4567  +3.0    -3.0    +2.5    -2.5    33.92
121.3    0.4556  +3.0    -3.0    +2.5    -2.5    33.88
121.4    0.4545  +3.0    -3.0    +2.4    -2.4    33.84
121.5    0.4535  +3.0    -3.0    +2.4    -2.4    33.80
121.6    0.4522  +3.0    -3.0    +2.4    -2.4    33.76
121.7    0.4509  +3.0    -3.0    +2.4    -2.4    33.73
121.8    0.4498  +3.0    -3.0    +2.5    -2.5    33.69
121.9    0.4488  +3.0    -3.0    +2.5    -2.5    33.65
122.0    0.4478  +3.0    -3.0    +2.5    -2.5    33.61
122.1    0.4468  +3.0    -3.0    +2.5    -2.5    33.58
122.2    0.4457  +3.0    -3.0    +2.5    -2.5    33.53
122.3    0.4444  +3.0    -3.0    +2.5    -2.5    33.49
122.4    0.4434  +3.0    -3.0    +2.6    -2.6    33.45
122.5    0.4421  +3.0    -3.0    +2.6    -2.6    33.41
122.6    0.4409  +3.0    -3.0    +2.6    -2.6    33.37
122.7    0.4396  +3.0    -3.0    +2.6    -2.6    33.33
122.8    0.4385  +3.1    -3.1    +2.6    -2.6    33.30
122.9    0.4376  +3.1    -3.1    +2.5    -2.5    33.26
123.0    0.4366  +3.1    -3.1    +2.5    -2.5    33.22
123.1    0.4356  +3.1    -3.1    +2.6    -2.6    33.19
123.2    0.4346  +3.1    -3.1    +2.6    -2.6    33.15
123.3    0.4335  +3.1    -3.1    +2.6    -2.6    33.11
123.4    0.4325  +3.1    -3.1    +2.6    -2.6    33.07
123.5    0.4311  +3.1    -3.1    +2.6    -2.6    33.03
123.6    0.4301  +3.1    -3.1    +2.6    -2.6    32.99
123.7    0.4292  +3.1    -3.1    +2.6    -2.6    32.95
123.8    0.4280  +3.1    -3.1    +2.5    -2.5    32.92
123.9    0.4271  +3.1    -3.1    +2.5    -2.5    32.88
124.0    0.4260  +3.1    -3.1    +2.4    -2.4    32.84
124.1    0.4249  +3.1    -3.1    +2.4    -2.4    32.80
124.2    0.4238  +3.1    -3.1    +2.4    -2.4    32.77
124.3    0.4228  +3.1    -3.1    +2.4    -2.4    32.73
124.4    0.4217  +3.2    -3.2    +2.5    -2.5    32.70
124.5    0.4206  +3.2    -3.2    +2.5    -2.5    32.66
124.6    0.4194  +3.2    -3.2    +2.5    -2.5    32.62
124.7    0.4185  +3.1    -3.1    +2.5    -2.5    32.58
124.8    0.4174  +3.1    -3.1    +2.5    -2.5    32.54
124.9    0.4164  +3.1    -3.1    +2.5    -2.5    32.50
125.0    0.4153  +3.1    -3.1    +2.5    -2.5    32.46
125.1    0.4142  +3.1    -3.1    +2.5    -2.5    32.43
125.2    0.4133  +3.1    -3.1    +2.5    -2.5    32.39
125.3    0.4123  +3.1    -3.1    +2.5    -2.5    32.35
125.4    0.4112  +3.1    -3.1    +2.5    -2.5    32.31
125.5    0.4102  +3.1    -3.1    +2.5    -2.5    32.27
125.6    0.4091  +3.2    -3.2    +2.5    -2.5    32.23
125.7    0.4082  +3.2    -3.2    +2.5    -2.5    32.20
125.8    0.4070  +3.2    -3.2    +2.5    -2.5    32.16
125.9    0.4061  +3.2    -3.2    +2.5    -2.5    32.12
126.0    0.4050  +3.2    -3.2    +2.5    -2.5    32.08
126.1    0.4042  +3.2    -3.2    +2.5    -2.5    32.05
126.2    0.4030  +3.2    -3.2    +2.5    -2.5    32.01
126.3    0.4020  +3.2    -3.2    +2.5    -2.5    31.97
126.4    0.4010  +3.2    -3.2    +2.5    -2.5    31.93
126.5    0.4000  +3.2    -3.2    +2.5    -2.5    31.90
126.6    0.3990  +3.2    -3.2    +2.5    -2.5    31.86
126.7    0.3980  +3.2    -3.2    +2.5    -2.5    31.82
126.8    0.3970  +3.2    -3.2    +2.5    -2.5    31.78
126.9    0.3962  +3.2    -3.2    +2.6    -2.6    31.75
127.0    0.3953  +3.2    -3.2    +2.6    -2.6    31.71
127.1    0.3943  +3.2    -3.2    +2.6    -2.6    31.67
127.2    0.3932  +3.2    -3.2    +2.5    -2.5    31.63
127.3    0.3921  +3.2    -3.2    +2.5    -2.5    31.59
127.4    0.3912  +3.2    -3.2    +2.5    -2.5    31.56
127.5    0.3901  +3.2    -3.2    +2.5    -2.5    31.52
127.6    0.3892  +3.2    -3.2    +2.5    -2.5    31.48
127.7    0.3883  +3.2    -3.2    +2.5    -2.5    31.44
127.8    0.3874  +3.2    -3.2    +2.4    -2.4    31.40
127.9    0.3863  +3.2    -3.2    +2.4    -2.4    31.37
128.0    0.3856  +3.3    -3.3    +2.4    -2.4    31.33
128.1    0.3847  +3.3    -3.3    +2.5    -2.5    31.29
128.2    0.3838  +3.2    -3.2    +2.5    -2.5    31.26
128.3    0.3830  +3.2    -3.2    +2.5    -2.5    31.22
128.4    0.3819  +3.2    -3.2    +2.6    -2.6    31.18
128.5    0.3809  +3.2    -3.2    +2.6    -2.6    31.14
128.6    0.3799  +3.2    -3.2    +2.6    -2.6    31.11
128.7    0.3790  +3.3    -3.3    +2.6    -2.6    31.07
128.8    0.3780  +3.3    -3.3    +2.6    -2.6    31.04
128.9    0.3770  +3.3    -3.3    +2.6    -2.6    31.00
129.0    0.3762  +3.3    -3.3    +2.6    -2.6    30.96
129.1    0.3751  +3.3    -3.3    +2.6    -2.6    30.92
129.2    0.3741  +3.3    -3.3    +2.6    -2.6    30.89
129.3    0.3731  +3.3    -3.3    +2.6    -2.6    30.85
129.4    0.3723  +3.3    -3.3    +2.6    -2.6    30.81
129.5    0.3714  +3.3    -3.3    +2.6    -2.6    30.78
129.6    0.3705  +3.3    -3.3    +2.5    -2.5    30.74
129.7    0.3696  +3.3    -3.3    +2.5    -2.5    30.70
129.8    0.3688  +3.3    -3.3    +2.5    -2.5    30.67
129.9    0.3679  +3.3    -3.3    +2.5    -2.5    30.63
130.0    0.3671  +3.3    -3.3    +2.4    -2.4    30.60
130.5    0.3626  +3.3    -3.3    +2.5    -2.5    30.42
131.0    0.3583  +3.3    -3.3    +2.5    -2.5    30.23
131.5    0.3539  +3.3    -3.3    +2.5    -2.5    30.04
132.0    0.3498  +3.3    -3.3    +2.5    -2.5    29.86
132.5    0.3457  +3.4    -3.4    +2.6    -2.6    29.68
133.0    0.3418  +3.4    -3.4    +2.6    -2.6    29.50
133.5    0.3376  +3.4    -3.4    +2.6    -2.6    29.33
134.0    0.3337  +3.4    -3.4    +2.6    -2.6    29.14
134.5    0.3297  +3.4    -3.4    +2.6    -2.6    28.97
135.0    0.3259  +3.5    -3.5    +2.7    -2.7    28.79
135.5    0.3221  +3.5    -3.5    +2.6    -2.6    28.62
136.0    0.3184  +3.5    -3.5    +2.6    -2.6    28.44
136.5    0.3145  +3.5    -3.5    +2.6    -2.6    28.27
137.0    0.3109  +3.5    -3.5    +2.6    -2.6    28.10
137.5    0.3073  +3.6    -3.6    +2.6    -2.6    27.93
138.0    0.3036  +3.6    -3.6    +2.6    -2.6    27.75
138.5    0.3003  +3.6    -3.6    +2.6    -2.6    27.59
139.0    0.2966  +3.6    -3.6    +2.7    -2.7    27.41
139.5    0.2933  +3.6    -3.6    +2.7    -2.7    27.25
140.0    0.2898  +3.6    -3.6    +2.7    -2.7    27.07
140.5    0.2865  +3.6    -3.6    +2.7    -2.7    26.90
141.0    0.2831  +3.6    -3.6    +2.7    -2.7    26.73
141.5    0.2799  +3.6    -3.6    +2.7    -2.7    26.56
142.0    0.2769  +3.6    -3.6    +2.7    -2.7    26.39
142.5    0.2736  +3.6    -3.6    +2.7    -2.7    26.23
143.0    0.2705  +3.7    -3.7    +2.7    -2.7    26.07
143.5    0.2674  +3.7    -3.7    +2.7    -2.7    25.91
144.0    0.2644  +3.7    -3.7    +2.7    -2.7    25.73
144.5    0.2613  +3.8    -3.8    +2.7    -2.7    25.56
145.0    0.2583  +3.8    -3.8    +2.7    -2.7    25.39
